Seccion,Subseccion,Contenido
 Environmental impact , Water pollution ,"One of the most devastating effects of industrial waste is water pollution. For many industrial processes, water is used which comes in contact with harmful chemicals. These chemicals may include organic compounds (such as solvents), metals, nutrients or radioactive material. If the wastewater is discharged without treatment, groundwater and surface water bodies—lakes, streams, rivers and coastal waters—can become polluted, with serious impacts on human health and the environment. Drinking water sources and irrigation water used for farming may be affected. The pollutants may degrade or destroy habitat for animals and plants."
 Environmental impact , Water pollution ,"In coastal areas, fish and other aquatic life can be contaminated by untreated waste; beaches and other recreational areas can be damaged or closed.: 273–309"
 Management , Thailand ,"In Thailand the roles in municipal solid waste (MSW) management and industrial waste management are organized by the Royal Thai Government, which is organized as central (national) government, regional government, and local government. Each government is responsible for different tasks. The central government is responsible for stimulating regulation, policies, and standards. The regional governments are responsible for coordinating the central and local governments. The local governments are responsible for waste management in their governed area."
 Management , Thailand ,"However, the local governments do not dispose of the waste by themselves but instead hire private companies that have been granted the right from the Pollution Control Department (PCD) in Thailand. The main companies are Bangpoo Industrial Waste Management Center, General Environmental Conservation Public Company Limited (GENCO), SGS Thailand, Waste Management Siam LTD (WMS), and Better World Green Public Company Limited (BWG). These companies are responsible for the waste they have received from their customers before releasing it to the environment, burying it."
 Management , United States ,"The 1976 Resource Conservation and Recovery Act (RCRA) provides for federal regulation of industrial, household, and manufacturing solid and hazardous wastes in the United States. RCRA aims to conserve natural resources and energy, protect human health, eliminate or reduce waste, and to clean up waste when needed. RCRA first began as an amendment to the Solid Waste Disposal Act of 1965, and in 1984, Congress passed the Hazardous and Solid Waste Amendments (HSWA) which strengthened RCRA by: Eliminating land disposal—land disposal means placing waste on or in land (e.g."
 Management , United States ,"injection wells, landfills, etc.), and the Land Disposal Restrictions (LDR) program (under HSWA) forbids untreated hazardous waste from land disposals, and requires the U.S. Environmental Protection Agency (EPA) to set specific treatment standards that must be met before hazardous waste can be subject to land disposals. The LDR program also has a dilution prohibition, which asserts that hazardous waste cannot be diluted down by the handler as a means to avoid satisfying the treatment."
 Management , United States ,"Waste minimization—the goal of waste minimization is to make sure that the amount of hazardous waste that is produced, and its toxicity levels, is as diminished as possible, and the EPA does this through source reduction and recycling. Source reduction (or pollution prevention (P2)) trims production of hazardous wastes right at its source, and is the EPA's first step in material management with recycling being second. Amplifying the EPA's authority regarding corrective action—corrective action is when treatment, storage, and disposal facilities (TSDFs) must oblige with inquiring hazardous releases into ground and surface water, soil, and air, and clearing it up."
 Management , United States ,"Under the HSWA, the EPA can necessitate corrective action at permitted and non-permitted TSDFs.Furthermore, the EPA uses Superfund to find sites of contamination, identify the parties responsible, and in the occurrences where said parties are not known or able to, the program funds cleanups. Superfund also works on figuring out and applying final remedies for cleanups."
 Management , United States ,"The Superfund process is to: 1) collect necessary information (known as the Remedial Investigation (RI) phase); 2) assess alternatives to deal with any potential risks to the environmental and human health (known as the Feasibility Study (FS) stage); 3) determine the most suitable remedies that could lower the risks to more adequate levels. Some sites are so contaminated because of past waste disposals that it takes decades to clean them up, or bring the contamination down to acceptable levels, thus requiring long-term management over those sites."
 Management , United States ,"Hence, sometimes figuring out a final remedy is not possible, and so, the EPA has developed the Adaptive Management plan.The EPA has issued national regulations regarding the handling, treatment and disposal of wastes. EPA has authorized individual state environmental agencies to implement and enforce the RCRA regulations through approved waste management programs.State compliance is monitored by EPA inspections. In the case that waste management guideline standards are not met, action against the site will be taken. Compliance errors may be corrected by enforced cleanup directly by the site responsible for the waste or by a third party hired by that site."
 Management , United States ,"Prior to the enactment of the Clean Water Act (1972) and RCRA, open dumping or releasing wastewater into nearby bodies of water were common waste disposal methods. The negative effects on human health and environmental health led to the need for such regulations. The RCRA framework provides specified subsections defining nonhazardous and hazardous waste materials and how each should be properly managed and disposed of. Guidelines for the disposal of nonhazardous solid waste includes the banning of open dumping."
 Management , United States ,"Hazardous waste is monitored in a ""cradle to grave"" fashion; each step in the process of waste generation, transport and disposal is tracked. The EPA now manages 2.96 million tons of solid, hazardous and industrial waste. Since establishment, the RCRA program has undergone reforms as inefficiencies arise and as waste management processes evolve.The 1972 Clean Water Act is a broad legislative mandate to protect surface waters (rivers, lakes and coastal water bodies). A 1948 law had authorized research and development of voluntary water standards, and had provided limited financing for state and local government efforts."
 Management , United States ,"The 1972 law prohibited, for the first time, uncontrolled discharges of industrial waste, as well as municipal sewage, into waters of the United States. EPA was required to develop national standards for industrial facilities and standards for municipal sewage treatment plants. States were required to develop water quality standards for individual water bodies. Enforcement is mainly delegated to state agencies. Major amendments to the law were passed in 1977 and 1987."
 Management , United States ,Chemical waste Environmental remediation Environmental racism Hazardous waste List of solid waste treatment technologies List of waste management companies List of waste management topics Recycling Soil pollution Tailings (mining waste)
 Laboratory chemical waste in the US ,,"The U.S. Environmental Protection Agency (EPA) prohibits disposing of certain materials down drains. Therefore, when hazardous chemical waste is generated in a laboratory setting, it is usually stored on-site in an appropriate waste carboy where it is later collected and disposed of by a specialist contractor in order to meet safety, health, and legislative requirements. Many universities' Environment, Health, and Safety (EHS) divisions/departments serve this collection and oversight role.Organic solvents and other organic waste is typically incinerated. Some chemical wastes are recycled, such as waste elemental mercury."
 Laboratory chemical waste in the US , Packaging ,"During packaging, chemical liquid waste containers are filled to no further than 75% capacity to allow for vapor expansion and to reduce potential spills which can occur from transporting or moving overfilled containers. Containers for chemical liquid waste are typically constructed from materials compatible with the hazardous waste being stored, such as inert materials like polypropylene (PP) or polytetrafluoroethylene (PTFE). These containers are also constructed of mechanically robust materials in order to minimize leakage during storage or transit. In addition to the general packaging requirements mentioned above, precipitates, solids, and other non-fluid wastes are typically stored separately from liquid waste."
 Laboratory chemical waste in the US , Packaging ,Chemically contaminated glassware is disposed of separately from other chemical waste in containers that cannot be punctured by broken glass.
 Laboratory chemical waste in the US , Labelling ,Containers are labelled with the group name from the chemical waste category and an itemized list of the contents. All chemicals or materials contaminated by chemicals pose a significant hazard. All waste must be appropriately packaged.
 Laboratory chemical waste in the US , Storage ,"Chemical waste containers are kept closed to prevent spillage, except for when waste is being added. Suitable containers are labeled in order to inform disposal specialists of the contents, as well as to prevent addition of incompatible chemicals. Liquid waste is stored in containers with secure screw-top or similar lids that cannot be easily dislodged in transit. Solid waste is stored in various sturdy, chemically inert containers, such as large sealed buckets or thick plastic bags."
 Laboratory chemical waste in the US , Storage ,"A secondary containment (e.g., flammable cabinet or large plastic bin, etc.) is used to capture spills and leaks from the primary container and segregate incompatible hazardous wastes, such as acids and bases."
 Laboratory chemical waste in the US , Chemical compatibility guidelines ,"Many chemicals react adversely when combined. Incompatible chemicals are therefore stored in separate areas of laboratories.Acids are separated from alkalis, metals, cyanides, sulfides, azides, phosphides, and oxidizers, as when acids combine with these types of compounds, violent exothermic reactions can occur. In addition, some of these reactions produce flammable gases, which, combined with the heat produced, may cause explosions. In the case of cyanides, sulfides, azides, phosphides, etc. Toxic gases are also produced."
 Laboratory chemical waste in the US , Chemical compatibility guidelines ,"Oxidizers are separated from acids, organic materials, metals, reducing agents, and ammonia, as when oxidizers combine with these types of compounds, flammable and sometimes toxic compounds can be created. Oxidizers also increase the likelihood that any flammable material present will ignite, seen most readily in research laboratories with improper storage of organic solvents."
 Environmental pollution , Textile industry ,"The textile industry is one of the largest polluters in the globalized world of mostly free market dominated socioeconomic systems. Chemically polluted textile wastewater degrades the quality of the soil and water. The pollution comes from the type of conduct of chemical treatments used e.g., in pretreatment, dyeing, printing, and finishing operations that many or most market-driven companies use despite ""eco-friendly alternatives"". Textile industry wastewater is considered to be one the largest polluters of water and soil ecosystems, causing ""carcinogenic, mutagenic, genotoxic, cytotoxic and allergenic threats to living organisms""."
 Environmental pollution , Textile industry ,"The textile industry uses over 8000 chemicals in its supply chain, also polluting the environment with large amounts of microplastics and has been identified in one review as the industry sector producing the largest amount of pollution.A campaign of big clothing brands like Nike, Adidas and Puma to voluntarily reform their manufacturing supply chains to commit to achieving zero discharges of hazardous chemicals by 2020 (global goal) appears to have failed. The textile industry also creates a lot of pollution that leads to externalities which can cause large economic problems."
 Environmental pollution , Textile industry ,The problem usually occurs when there is no division of ownership rights. This means that the problem of pollution is largely caused because of incomplete information about which company pollutes and at what scale the damage was caused by the pollution.
 Environmental pollution , Planetary boundary ,"A study by ""Scienmag"" defines a 'planetary boundary' for novel entities such as plastic and chemical pollution. The study reported that the boundary has been crossed. Chemicals waste may fall under regulations such as COSHH in the United Kingdom or the Clean Water Act and Resource Conservation and Recovery Act in the United States. In the U.S., the Environmental Protection Agency (EPA) and the Occupational Safety and Health Administration (OSHA), as well as state and local regulations, also regulate chemical use and disposal."
 Regulation of chemical waste , Chemical waste in Canadian aquaculture ,"Chemical waste in oceans is becoming a major issue for marine life. There have been many studies conducted to try and prove the effects of chemicals in oceans. In Canada, many of the studies concentrated on the Atlantic provinces, where fishing and aquaculture are an important part of the economy. In New Brunswick, a study was done on sea urchins in an attempt to identify the effects of toxic and chemical waste on life beneath the ocean, specifically the waste from salmon farms. Sea urchins were used to check the levels of metals in the environment."
 Regulation of chemical waste , Chemical waste in Canadian aquaculture ,"Green sea urchins have been used as they are widely distributed, abundant in many locations, and easily accessible. By investigating the concentrations of metals in the green sea urchins, the impacts of chemicals from salmon aquaculture activity could be assessed and detected. Samples were taken at 25-meter intervals along a transect in the direction of the main tidal flow. The study found that there were impacts to at least 75 meters based on the intestine metal concentrations."
 Regulation of chemical waste , Chemical waste in Canadian aquaculture ,"Industrial waste List of waste types Municipal solid waste Radioactive waste Toxic waste Waste management Water pollution Committee on Prudent Practices for Handling, Storage, and Disposal of Chemicals in Laboratories, National Research Council (16 September 1995). ""7. Disposal of Waste"". Prudent Practices in the Laboratory: Handling and Disposal of Chemicals (online book). The National Academies Press. pp. 147–150. ISBN 978-0-309-05229-0.{{cite book}}: CS1 maint: multiple names: authors list (link) Industrial Materials Recycling – US EPA"
 Ash handling processes ,,"In a conventional water impounded hopper (WIH) system, the clinker lumps get crushed to small sizes by clinker grinders mounted under water and fall down into a trough from where a water ejector takes them out to a sump. From there it is pumped out by suitable rotary pumps. In another arrangement a continuous link chain scrapes out the clinkers from under water and feeds them to clinker grinders outside the bottom ash hopper. More modern systems adopt a continuous removal philosophy."
 Ash handling processes ,,"Essentially, a heavy duty chain conveyor submerged in a water bath below the furnace which quenches hot ash as it falls from the combustion chamber and removes the wet ash continuously up to a de-watering slope before onward discharge into mechanical conveyors or directly to storage silos. Modern municipal waste incinerators reduce the production of dioxins by incinerating at 850 to 950 degrees Celsius for at least two seconds, forming incinerator bottom ash as byproduct. In United States facilities, the ash waste is typically pumped to ash ponds, the most common disposal method."
 Ash handling processes ,,"Some power plants operate a dry disposal system with landfills. In the United States, coal ash is a major component of the nation's industrial waste stream. In 2017, 38.2 million short tons (34.7×10^6 t) of fly ash, and 9.7 million short tons (8.8×10^6 t) of bottom ash were generated. Coal contains trace levels of arsenic, barium, beryllium, boron, cadmium, chromium, thallium, selenium, molybdenum and mercury, many of which are highly toxic to humans and other life. Coal ash, a product of combustion, concentrates these elements and can contaminate groundwater or surface waters if there are leaks from an ash pond.Most U.S."
 Ash handling processes ,,"power plants do not use geomembranes, leachate collection systems, or other flow controls often found in municipal solid waste landfills. Following a 2008 failure that caused the Tennessee Valley Authority’s Kingston Fossil Plant coal fly ash slurry spill, the U.S. Environmental Protection Agency (EPA) began developing regulations that would apply to all ash ponds in the U.S. EPA published its ""Part A"" final rule for Coal Combustion Residuals (CCR) on August 28, 2020, requiring all unlined ash ponds to retrofit with liners or close by April 11, 2021."
 Ash handling processes ,,"Some facilities may apply to obtain additional time—up to 2028—to find alternatives for managing ash wastes before closing their surface impoundments. EPA published its """"CCR Part B"" rule on November 12, 2020, which allows certain facilities to use an alternative liner, based on a demonstration that human health and the environment will not be affected. Further litigation on the CCR regulation is pending as of 2021."
 Environmental impacts , Ash recycling ,"Bottom ash can be extracted, cooled and conveyed using dry ash handling technology. When left dry the ash can be used to make concrete, bricks and other useful materials. There are also several environmental benefits.Bottom ash may be used as raw alternative material, replacing earth or sand or aggregates, for example in road construction and in cement kilns (clinker production). A noticeable other use is as growing medium in horticulture (usually after sieving). In the United Kingdom it is known as furnace bottom ash (FBA), to distinguish it from incinerator bottom ash (IBA), the non-combustible elements remaining after incineration."
 Environmental impacts , Ash recycling ,A pioneer use of bottom ash was in the production of concrete blocks used to construct many high-rise flats in London in the 1960s. Coal combustion products Fly ash Health effects of coal ash Industrial wastewater treatment EcoSmart Concrete – Use of fly ash and other supplementary cementing materials in concrete LondonWaste – How bottom ash is processed to make aggregate
 Composition ,,"The composition of municipal solid waste varies greatly from municipality to municipality, and it changes significantly with time. In municipalities which have a well-developed waste recycling system, the waste stream mainly consists of intractable wastes such as plastic film and non-recyclable packaging materials. At the start of the 20th century, the majority of domestic waste (53%) in the UK consisted of coal ash from open fires. In developed areas without significant recycling activity it predominantly includes food wastes, market wastes, yard wastes, plastic containers and product packaging materials, and other miscellaneous solid wastes from residential, commercial, institutional, and industrial sources."
 Composition ,,"Most definitions of municipal solid waste do not include industrial wastes, agricultural wastes, medical waste, radioactive waste or sewage sludge. Waste collection is performed by the municipality within a given area. The term residual waste relates to waste left from household sources containing materials that have not been separated out or sent for processing."
 Composition ,,"Waste can be classified in several ways, but the following list represents a typical classification: Biodegradable waste: food and kitchen waste, green waste, paper (most can be recycled, although some difficult to compost plant material may be excluded) Recyclable materials: paper, cardboard, glass, bottles, jars, tin cans, aluminum cans, aluminium foil, metals, certain plastics, textiles, clothing, tires, batteries, etc. Inert waste: construction and demolition waste, dirt, rocks, debris Electrical and electronic waste (WEEE) – ⁣electrical appliances, light bulbs, washing machines, TVs, computers, screens, mobile phones, alarm clocks, watches, etc."
 Composition ,,"Composite wastes: waste clothing, Tetra Pack food and drink cartons, waste plastics such as toys and plastic garden furniture Hazardous waste including most paints, chemicals, tires, batteries, light bulbs, electrical appliances, fluorescent lamps, aerosol spray cans, and fertilizers Toxic waste including pesticides, herbicides, and fungicides Biomedical waste, expired pharmaceutical drugs, etc.For example, typical municipal solid waste in China is composed of 55.9% food residue, 8.5% paper, 11.2% plastics, 3.2% textiles, 2.9% wood waste, 0.8% rubber, and 18.4% non-combustibles. The municipal solid waste industry has four components: recycling, composting, disposal, and waste-to-energy via incineration."
 Composition ,,"There is no single approach that can be applied to the management of all waste streams, therefore the Environmental Protection Agency, a U.S. federal government agency, developed a hierarchy ranking strategy for municipal solid waste. The waste management hierarchy is made up of four levels ordered from most preferred to least preferred methods based on their environmental soundness: Source reduction and reuse; recycling or composting; energy recovery; treatment and disposal."
 Components of solid waste management , Collection ,"The functional element of collection includes not only the gathering of solid waste and recyclable materials, but also the transport of these materials, after collection, to the location where the collection vehicle is emptied. This location may be a materials processing facility, a transfer station or a landfill disposal site."
 Components of solid waste management ," Waste handling and separation, storage and processing at the source ",Waste handling and separation involves activities associated with waste management until the waste is placed in storage containers for collection. Handling also encompasses the movement of loaded containers to the point of collection. Separating different types of waste components is an important step in the handling and storage of solid waste at the source of collection.
 Components of solid waste management , Segregation and processing and transformation of solid wastes ,"The types of means and facilities that are now used for the recovery of waste materials that have been separated at the source include curbside (US) / kerbside (UK) collection, drop-off and buy-back centres. The separation and processing of wastes that have been separated at the source and the separation of commingled wastes usually occur at a materials recovery facility, transfer stations, combustion facilities and treatment plants."
 Components of solid waste management , Transfer and transport ,"This element involves two main steps. First, the waste is transferred from a smaller collection vehicle to larger transport equipment. The waste is then transported, usually over long distances, to a processing or disposal site."
 Components of solid waste management , Disposal ,"Today, the disposal of wastes by land filling or land spreading is the ultimate fate of all solid wastes, whether they are residential wastes collected and transported directly to a landfill site, residual materials from materials recovery facilities (MRFs), residue from the combustion of solid waste, compost, or other substances from various solid waste processing facilities. A modern sanitary landfill is not a dump; it is an engineered facility used for disposing of solid wastes on land without creating nuisances or hazards to public health or safety, such as the problems of insects and the contamination of groundwater."
 Components of solid waste management , Reusing ,"In recent years, environmental organizations, such as Freegle or The Freecycle Network, have been gaining popularity for their online reuse networks. These networks provide a worldwide online registry of unwanted items that would otherwise be thrown away, for individuals and nonprofits to reuse or recycle. Therefore, this free Internet-based service reduces landfill pollution and promotes the gift economy."
 Components of solid waste management , Landfills ,"Landfills are created by land dumping. Land dumping methods vary, most commonly it involves the mass dumping of waste into a designated area, usually a hole or sidehill. After the waste is dumped, it is then compacted by large machines. When the dumping cell is full, it is then ""sealed"" with a plastic sheet and covered in several feet of dirt. This is the primary method of dumping in the United States because of the low cost and abundance of unused land in North America."
 Components of solid waste management , Landfills ,"Landfills are regulated in the US by the Environmental Protection Agency, which enforces standards provided in the Resource Conservation Recovery Act, such as requiring liners and groundwater monitoring. This is because landfills pose the threat of pollution and can contaminate groundwater. The signs of pollution are effectively masked by disposal companies, and it is often hard to see any evidence. Usually, landfills are surrounded by large walls or fences hiding the mounds of debris. Large amounts of chemical odor eliminating agent are sprayed in the air surrounding landfills to hide the evidence of the rotting waste inside the plant."
 Components of solid waste management , Energy generation ,"Municipal solid waste can be used to generate energy because of the lipid content present within it. A lot of MSW products can be converted into clean energy if the lipid content can be accessed and utilized. Several technologies have been developed that make the processing of MSW for energy generation cleaner and more economical than ever before, including landfill gas capture, combustion, pyrolysis, gasification, and plasma arc gasification.While older waste incineration plants emitted a lot of pollutants, recent regulatory changes and new technologies have significantly reduced this concern."
 Components of solid waste management , Energy generation ,"United States Environmental Protection Agency (EPA) regulations in 1995 and 2000 under the Clean Air Act have succeeded in reducing emissions of dioxins from waste-to-energy facilities by more than 99 percent below 1990 levels, while mercury emissions have been reduced by over 90 percent. The EPA noted these improvements in 2003, citing waste-to-energy as a power source ""with less environmental impact than almost any other source of electricity""."
 Components of solid waste management , Energy generation ,"Category:Waste by country Garbology (study of modern refuse and trash) List of waste management acronyms MSW/LFG (municipal solid waste and landfill gas) Methanol fuel#History and production Sewage Waste management Waste minimisation Global waste trade Vergara, S. E.; Tchobanoglous, G. (2012). ""Municipal Solid Waste and the Environment: A Global Perspective"". Annual Review of Environment and Resources. 37: 277–309. doi:10.1146/annurev-environ-050511-122532. Kumar, Sunil; Dhar, Hiya; Nair, Vijay V.; Bhattacharyya, J. K.; Vaidya, A. N.; Akolkar, A. B. (22 March 2016). ""Characterization of municipal solid waste in high-altitude sub-tropical regions"". Environmental Technology. 37 (20): 2627–2637. doi:10.1080/09593330.2016.1158322. PMID 26915419. S2CID 8140600."
 Types of waste ,,"C&D Materials, construction and demolition materials, are materials used in and harvested from new building and civilengineer structures. Much building waste is made up of materials such as bricks, concrete and wood damaged or unused during construction. Observational research has shown that this can be as high as 10 to 15% of the materials that go into a building, a much higher percentage than the 2.5-5% usually assumed by quantity surveyors and the construction industry."
 Types of waste ,,"Since considerable variability exists between construction sites, there is much opportunity for reducing this waste.There has been a massive increase in construction and demolition waste created over the last 30 years in the United States. In 1990, 135 million tons of construction and demolition debris by weight were created and had risen to 600 million tons by the year 2018. This is a 300% increase, but it is important to note that since 2015 the EPA has kept records of how the waste is disposed of."
 Types of waste ,,"In 2018, 600 million tons of waste was created due to construction and demolition, and 143 million tons of it resides in landfills. This means that about 76% of waste is now retained and repurposed in the industry, but there is still more waste being exported to landfills than the entire amount of waste created in 1990. This unsustainable consumption of raw materials creates increasing business risks. This includes higher material costs or disruptions in the supply chains."
 Types of waste ,,"In 2010, the EPA created the Sustainable Materials Management (SMM) Program Strategic Plan which marked a strategic shift by the EPA to move emphasis from broad resource recovery initiative to sustainable materials management. Since material management regulations largely exist at a state and local level, this is no real standard practice across the nation for responsible waste mitigation strategies for construction materials. The EPA aims to increase access to collection, processing, and recycling infrastructure in order to meet this issue head on."
 Types of waste , Main causes of waste ,"Construction waste can be categorized as follows: Design, Handling, Worker, Management, Site condition, Procurement and External. These categories were derived from data collected from past research concerning the frequency of different types of waste noted during each type of these activities. Examples of this type of waste are as follows:"
 Types of waste , Steel reinforcement ,"Steel is used as reinforcement and structural integrity in the vast majority of construction projects. The main reasons steel is wasted on a site is due to irresponsible beam cutting and fabrication issues. The worst sites usually end up being the ones that do not have adequate design details and standards, which can result in waste due to short ends of bars being discarded due to improper planning of cuts. Many companies now choose to purchase preassembled steel reinforcement pieces. This reduces waste by outsourcing the bar cutting to companies that prioritize responsible material use."
 Types of waste , Premixed concrete ,"Premixed concrete has one of the lowest waste indices when compared to other building materials. Many site managers site the difficulties controlling concrete delivery amounts as a major issue in accurately quantifying concrete needed for a site. The deviations from actually constructed concrete slabs and beams and the design amounts necessary were found to be 5.4% and 2.7% larger than expected, respectively, when comparing the data from 30 Brazilian sites. Many of these issues were attributed to inadequate form layout or lack of precision in excavation for foundation piles."
 Types of waste , Premixed concrete ,"Additionally, site managers know that additional concrete may be needed, and they will often order excess material to not interrupt the concrete pouring."
 Types of waste , Pipes and wires ,"It is often difficult to plan and keep track of all the pipes and wires on a site as they are used in so many different areas of a project, especially when electrical and plumbing services are routinely subcontracted. Many issues of waste arise in this area of the construction process because of poorly designed details and irresponsible cutting of pipes and wires leaving short, wasted pipes and wires."
 Types of waste , Improper material storage ,The second leading cause of construction waste production is inproper material storage. Exposure to the elements and miss handling by persons are due to human error. Part of this human error can lead to illegal dumping and illegal transportation volume of waste from a jobsite.
" Recycling, disposal and environmental impact ", Recycling and reuse of material ,"Most guidelines on C&D waste management follows the waste managing hierarchy framework. This framework involves a set of alternatives for dealing with waste arranged in descending order of preference. The waste hierarchy is a nationally and internationally accepted concept used to priorities and guide efforts to manage waste. Under the idea of Waste Hierarchy, there is the concept of the ""3R's,"" often known as ""reduce, reuse, recycle."" Certain countries adopt different numbers of ""R's."" The European Union, for example, puts principal to the ""4R"" system which includes ""Recovery"" in order to reduce waste of materials."
" Recycling, disposal and environmental impact ", Recycling and reuse of material ,"Alternatives include prevention, energy recovery, (treatment) and disposal. It is possible to recycle many elements of construction waste. Often roll-off containers are used to transport the waste. Rubble can be crushed and reused in construction projects. Waste wood can also be recovered and recycled."
" Recycling, disposal and environmental impact ", Landfilling ,"Some certain components of construction waste such as plasterboard are hazardous once landfilled. Plasterboard is broken down in landfill conditions releasing hydrogen sulfide, a toxic gas. Once broken down, Plasterboard poses a threat for increases Arsenic concentration Levels in its toxic inorganic form. The traditional disposal way for construction waste is to send it to landfill sites. In the U.S., federal regulations now require groundwater monitoring, waste screening, and operator training, due to the environmental impact of waste in C&D landfills (CFR 1996)."
" Recycling, disposal and environmental impact ", Landfilling ,"Sending the waste directly to a landfill causes many problems: Waste of natural resources Increases construction cost, especially the transportation process Occupies a large area of land Reduces soil quality Causes water pollution (Leachate) Causes air pollution Produces security risks etc."
" Recycling, disposal and environmental impact ", Incineration and health risks ,"Where recycling is not an option, the disposal of construction waste and hazardous materials must be carried out according to legislation of relevant councils and regulatory bodies. The penalties for improper disposal of construction waste and hazardous waste, including asbestos, can reach into the tens of thousands of dollars for businesses and individuals. Waste-to-energy facilities burn more than 13% of solid municipal waste. The toxic fumes emitted by WTE plants can contain harmful chemicals such as mercury and other heavy metals, carbon monoxide, sulfur dioxide, and dioxins. Dioxin was used as a waste oil in Times Beach, Missouri."
" Recycling, disposal and environmental impact ", Incineration and health risks ,"Days after the chemicals were introduced to the community animals began dying. By the time the EPA deemed dioxins to be highly toxic in the 1980s, the CDC recommended the town be abandoned entirely due to contaminated waste products in the area. By 1985, the entire population of Times Beach had been relocated, prompting Missouri to build a new incinerator on the contaminated land. They continued to burn 265,000 tons of dioxin-contaminated waste until 1997. Dioxins are a family of chemicals produced as a byproduct during the manufacturing of many pesticides and construction materials like carpeting and PVC."
