Seccion,Subseccion,Contenido
 Train derailment , Train and helper crews of Southern Pacific 7551 East ,crew
 Train derailment , Train and helper crews of Southern Pacific 7551 East ,that
 Train derailment , Train and helper crews of Southern Pacific 7551 East ,was
 Train derailment , Train and helper crews of Southern Pacific 7551 East ,called
 Train derailment , Train and helper crews of Southern Pacific 7551 East ,for
 Train derailment , Train and helper crews of Southern Pacific 7551 East ,train
 Train derailment , Train and helper crews of Southern Pacific 7551 East ,7551
 Train derailment , Train and helper crews of Southern Pacific 7551 East ,East
 Train derailment , Train and helper crews of Southern Pacific 7551 East ,were
 Train derailment , Train and helper crews of Southern Pacific 7551 East ,"as follows: Frank Holland, Engineer (age 33) Everett Crown,† Conductor (age 35) Allan Riess,† Brakeman on 3rd locomotive (age 43) Lawrence Hill, Engineer on helper unit 7443 (age 42) Robert Waterbury, Brakeman on helper unit 7443 (age 57)(†=Killed in the wreck.) Killed in the wreck were Conductor Crown (fatally crushed in the nose of unit SP 8278) and Brakeman Riess (fatally crushed in the cab of unit SP 7549), along with two young boys, Jason Thompson (age 10 years) and Tyson White (age 7 years), who were crushed and asphyxiated when the train destroyed one of the houses on Duffy Street."
 Train derailment , Train and helper crews of Southern Pacific 7551 East ,"Engineer Holland remained in his seat at the control stand in unit SP 8278 at the head of the train, and suffered several cracked ribs and a punctured lung. However, he was able to crawl out of his wrecked locomotive and was helped down by eyewitnesses on the scene. Engineer Hill and Brakeman Waterbury, who were in the helper locomotives, received minor injuries. Buried six feet underground alongside the track is a 14-inch high-pressure petroleum pipeline operated by Calnev Pipeline. The pipeline was marked with stakes during cleanup to avoid the risk of it being accidentally damaged."
 Train derailment , Train and helper crews of Southern Pacific 7551 East ,"Pipeline officials remained on site as safety observers during the cleanup of the rail cars, but not during the cleanup of the trona material. Service on the track where the derailment happened was restored four days after the crash."
 Train derailment , Train and helper crews of Southern Pacific 7551 East ,"Thirteen days after the train wreck on May 25, 1989, at 8:05 a.m., shortly after eyewitnesses heard a train pass through the derailment site, the pipeline burst at a point on the curve where the derailment happened, showering the neighborhood with gasoline, which ignited into a large fire that burned for close to seven hours and emitted a plume of flames three hundred feet into the air. By the time the fire was out, it had fatally burned two people, and destroyed eleven more houses and 21 cars."
 Train derailment , Train and helper crews of Southern Pacific 7551 East ,"Of the houses destroyed, five were directly across the street from houses that had been destroyed in the derailment, while another was the only house on the track side of Duffy Street to have been spared damage during the derailment. Four more houses received moderate smoke and fire damage, while three others had only smoke damage. The total property damage was US$14.3 million (equivalent to $33.8 million in 2022), with more of this damage resulting from the fire than from the train derailment, although there were more fatalities from the derailment."
 Train derailment , Train and helper crews of Southern Pacific 7551 East ,"Attempts to have the Calnev pipeline kept shut off after its failure were unsuccessful.Many residents received settlements from Southern Pacific and/or Calnev and moved after this disaster. The plots on the south side of Duffy Street closest to the rail line were rezoned as open space by the city so they would not be rebuilt. Other nearby plots which could be redeveloped sat empty for years, though as of 2016, at least three houses have been rebuilt there."
 Train derailment , Train and helper crews of Southern Pacific 7551 East ,"Southern Pacific also changed its cargo weight procedures, which required that the clerks assume that every freight car on every train was carrying the maximum load it was designed to carry if the submitted paperwork did not indicate a weight. By assuming the maximum weight of the train, that would guarantee that the dispatcher would assign at least the minimum number of locomotives needed to ensure that the train would have enough braking capacity needed to keep the train under control on steep grades."
 Train derailment , Train and helper crews of Southern Pacific 7551 East ,"Seven years after the accident, Southern Pacific was bought up by Union Pacific, which still runs trains over the rails where the derailment happened."
 Aftermath , Disposal of the train's equipment ,"All four of the locomotives at the front of the train (SP 8278, SP 7551, SP 7549 and SP 9340) were damaged beyond repair. They were sold for parts to Precision National and scrapped at the crash site. Both helper units derailed, but were still operable. Unit SP 8317 was sold to Precision National, repaired, then resold to Helm Leasing for continued service. It was scrapped in 2013. Unit SP 7443 was repaired and repainted by SP and returned to service."
 Aftermath , Disposal of the train's equipment ,"It was finally retired on March 17, 2000 and sold to National Railway Equipment Company, who rebuilt it with 5′6″ gauge trucks for MRS Logística (in Brazil) #5313. All 69 hopper cars were destroyed and scrapped at the crash site. As a result of this and other runaway incidents involving locomotives with dynamic braking, the Federal Railroad Administration reversed its mandate that dynamic braking be disabled when train brakes are placed in emergency. The mandate now is that they must all remain functional."
 Investigation , Part 1a: Incorrect train weight ,"Much of the NTSB's investigation into the two disasters was focused on the activities surrounding the derailment. SP MJLBP1-11 was carrying trona that had been mined and loaded onto the freight cars for shipment to a buyer. The shipment would move by rail to the Port of Los Angeles, then by ship to Colombia, South America. This would be the second such shipment."
 Investigation , Part 1a: Incorrect train weight ,"The buyer had purchased 6,900 tons of trona; thus the mining company, Lake Minerals, contracted for 69 100-ton coal hopper cars (which had a combination of D&RGW and SP reporting marks), which were to be loaded by an outside contractor at Rosamond. When the mining company turned in the final contract to the clerk (Thomas Blair) for the bill of lading, they had not filled in any weight, under the assumption that the railroad would know that they had filled the 100-ton cars to capacity."
 Investigation , Part 1a: Incorrect train weight ,"The clerk filled in the bill of lading as 60 tons per hopper car, going by a visual comparison of 100 tons of coal. As a result, the train was listed as weighing about 6,151 tons total (2,011 tons from the freight cars themselves, 4,140 tons of cargo), significantly lighter than its actual weight (Warren, 3). At 9:00 p.m. on May 11, a three-man crew consisting of Frank Holland, an engineer; Everett Crown, a conductor; and Allan Riess, a brakeman, was brought on duty at SP's Bakersfield yard."
 Investigation , Part 1a: Incorrect train weight ,"They were transported by company van to Mojave to take charge of a three-unit set of locomotives, consisting of SP 7551, SP 7549 (both EMD SD45R units) and SP 9340 (an EMD SD45T-2). While at Mojave, the crew obtained the necessary paperwork for their train, including a Car and Tonnage Profile (a printout generated by SP's TOPS computer system that showed, among other things, the assumed train weight of 6,151 tons). Upon boarding the locomotives, it was discovered that the head unit, #7551, was dead and could not be started."
 Investigation , Part 1a: Incorrect train weight ,"The crew was then instructed to take unit SP 8278 (an EMD SD40T-2 ""Tunnel Motor"") from another consist and add it to theirs, ahead of the dead 7551. The crew departed Mojave at 12:15 a.m. on May 12, and headed south (railroad direction east) approximately three miles to Fleta, where they were to pick up the 69 freight cars."
 Investigation , Part 1a: Incorrect train weight ,"Due to maintenance equipment being parked on the track at the south end of the Fleta siding, it was necessary for the train crew to pick up the cars from the north end, take them back to Mojave and run around them, before heading south to Palmdale, where it was originally intended to pick up an additional helper that would be placed on the rear of the train to aid in braking after cresting Cajon Pass."
 Investigation , Part 1a: Incorrect train weight ,"After a shift change in the train dispatcher's office, the new dispatcher correctly recalculated the tonnage of the train to be approximately 8,900 tons, based on his previous experience with these types of moves. Braking ability diminishes exponentially for every degree of grade – at a 2.2% grade, the dynamic brakes of one fully operational locomotive was capable of maintaining the speed of 1,700 to 1,800 tons of weight (either in freight cars or freight) at a speed of 25 miles per hour (40 km/h)."
 Investigation , Part 1a: Incorrect train weight ,"Dynamic braking ability is most effective near a speed of 25 miles per hour (40 km/h) and diminishes if the train travels slower or faster than this optimal speed, so engineers try to maintain speeds between 25–30 miles per hour (40–48 km/h) on steep grades."
 Investigation , Part 1a: Incorrect train weight ,"The dispatcher determined that they would need the dynamic brakes of 5.23 functional engines (6 total) to maintain this optimal speed between 25 and 30 miles per hour (40 and 48 km/h), so picking up only the one additional helper locomotive at Palmdale, as originally planned, would not provide sufficient dynamic braking effort for the 2.2% grade on the west side of Cajon Pass where the derailment happened, so instead of adding the single unit at Palmdale, the dispatcher ordered a two-unit helper set dispatched from the helper pool in West Colton, California. Consequently, at 1:30 a.m."
 Investigation , Part 1a: Incorrect train weight ,"on May 12, a crew consisting of Lawrence Hill, an engineer, and Robert Waterbury, a brakeman (acting in a position known as a ""lookout"") was brought on duty at West Colton and transported by company van to Dike (located at Devore), where they boarded a two-unit helper locomotive consisting of units SP #7443 (an EMD SD45R) and SP 8317 (another EMD SD40T-2 Tunnel Motor). Their instructions were to first help a northbound train (timetable westward) up the hill to Oban, then bring MJLBP-11 back down Cajon Pass to West Colton."
 Investigation , Part 1b: Lack of dynamic braking power ,"The two critical factors in this runaway and subsequent derailment were (1) the incorrect train tonnage provided to the crew, and (2) the lack of fully operative dynamic brakes on all but two of the locomotives between the head-end and helper locomotives. Each hopper car had wheels that were equipped with an ordinary air brake. Critical parts of the air brakes consist of metal shoes that create friction by pressing against the wheel treads when the air brakes are activated. The slower a wheel moves, the more easily friction can induce slowing traction instead of heat."
 Investigation , Part 1b: Lack of dynamic braking power ,"The faster a wheel moves, the more difficult friction is converted to braking power versus heat. Thus, air brakes work optimally when traveling at speeds under 25 miles per hour (40 km/h) as this is the speed at which traction is obtained more than heat via the input of friction between the shoes and the wheels. The air brakes on MJLBP-11's fully loaded hopper cars (100 tons each on a 2.2% grade) had only a limited effect on the braking potential of the train, becoming exponentially weaker and hotter as the speed of the train increased."
 Investigation , Part 1b: Lack of dynamic braking power ,"The second locomotive in the head-end set, SP 7551, since it was dead-in-tow, did not have operative dynamic brakes, just air brakes. The event recorder downloaded from unit SP 7549 (the third locomotive), showed that it was producing traction current in motoring but no current in dynamic braking. The dynamic brakes of the fourth locomotive, SP 9340, operated sporadically and were of limited use. Unit SP 8317 (of the two-unit helper engine set coupled to the rear of the train) also did not have an operative dynamic brake."
 Investigation , Part 1b: Lack of dynamic braking power ,"Thus, among the four locomotives in front and the set of helpers on the end, only SP 8278 at the front of the train and SP 7443 at the back of the train had fully functioning dynamic brakes. This information was not passed on to the train dispatcher."
 Investigation , Part 1b: Lack of dynamic braking power ,"The train engineer knew only that the second unit of the head-end consist (SP 7551) had no brakes, but believed he had more than sufficient dynamic brakes to maintain the speed of 6,151 tons (as was still listed in the cargo manifest) because 6,151 tons would only require the dynamic braking effort of five engines."
 Investigation , Part 1b: Lack of dynamic braking power ,"With a true weight of 8,900 tons, however, the train would have needed the functioning dynamic brakes of at least six or seven engines (with moderate dependence on the air brakes), or five engines (with a heavy input from the air brakes) in order to maintain control. As soon as the train crested the apex of the grade at Hiland and started downgrade on the south side of Cajon Pass, it became apparent to Holland at the head end that he was having trouble controlling the speed of the train."
 Investigation , Part 1b: Lack of dynamic braking power ,"When he realized that the train was gathering too much speed, he did all he could to control the train speed using the train's air brakes and the dynamic brakes of the lead locomotives, and asked the helper engine's engineer to do as much as he could to help also, not knowing that he had only one working dynamic brake in his set."
 Investigation , Part 1b: Lack of dynamic braking power ,"As a last attempt to stop the train, the helper engineer initiated an emergency brake application from his helper locomotive, but this ended up disabling all of the dynamic brakes on the train, allowing the train to pick up speed. After the activation of the emergency brake, the only brakes which were operational were the air brakes, which were now melting from the friction and heat."
 Investigation , Part 1b: Lack of dynamic braking power ,"When the NTSB investigators arrived at the crash site (about twelve hours after the accident), they observed that the wheels had gotten so hot that they had started to expand off the wheel axles by the time they left the rails.The train was traveling at a calculated speed of 110 miles per hour (180 km/h) when it entered a four-degree curve just north of the Highland Avenue overpass which had a maximum authorized speed of 40 miles per hour (64 km/h) and derailed, plowing into the houses on the outside of the curve."
 Investigation , Part 1b: Lack of dynamic braking power ,"All but one of the houses on the side of Duffy Street nearer the tracks were destroyed. The one house on that side of the street that was spared damage during the derailment was destroyed in the pipeline rupture. Six hundred and eighty feet of track were also destroyed in the wreck. The NTSB report determined that if the train had started down the hill at a speed lower than 15 miles per hour (24 km/h), it might have been possible for the crew to regain control of their train and brakes."
 Investigation , Part 1b: Lack of dynamic braking power ,"It was also discovered that the SP's engineer training program did not have any material on how to regain control of a runaway train, and the railroad's oversight on mountain operations was inadequate. The report stated that the derailment was inevitable due to the number of unfortunate circumstances that happened during the trip. The engineers weren't found to be at fault at all, as they acted within reason."
 Investigation , Part 2: Undetected pipeline damage ,"The initial inspections of specific portions of the pipeline found no damage from the wreck, and so they deemed it safe to recharge the pipeline with product at full pressure. In particular, as this pipeline supplied Las Vegas, Calnev was under pressure to quickly resume the flow of product, and a San Bernardino resident later remarked that serving Las Vegas was worth more than everything in their California town. The pipeline operators monitored the initial flow in the pipeline, and as there was no leakage, everything was assumed to be fine."
 Investigation , Part 2: Undetected pipeline damage ,"After Calnev's initial inspection and product refill, cleanup of the train wreckage began. The hoppers were removed first, a process which took two days. On May 15, the locomotives were removed and the houses that had been damaged were also demolished, and 680 feet (210 m) of track was rebuilt. An excavator was then brought in to remove trona spilled from the freight cars, starting on May 16, the same day that SP resumed service on the track through the crash site, and ending on May 19, six days before the rupture."
 Investigation , Part 2: Undetected pipeline damage ,"Despite stakes being placed along the pipeline's route to show where it was to the crews cleaning up the spilled trona, the cleanup nonetheless caused undetected damage to the pipeline. NTSB investigators found gashes that were determined to have been left by a backhoe cleaning up the spilled cargo. Over time, these gashes caused the integrity of the pipeline to weaken and eventually rupture. During cleanup, Calnev only inspected short segments of the pipeline – generally around places where train wreckage had landed on top of the pipe. Other short excavations discovered other debris, including bogies from the hoppers."
 Investigation , Part 2: Undetected pipeline damage ,"They did not carry out an excavation of the pipeline through the entire length of the derailment site for a further inspection, or, a hydrostatic test, either of which, if done, would have found the damage and prevented the rupture. Immediately after the rupture, the pipeline control operators detected a sudden change in pumping pressure (indicating possible rupture or severe leakage) in the area, but failed to take immediate action to stop the flow of product."
 Investigation , Part 2: Undetected pipeline damage ,"Additionally, the stop-and-check valves downstream from the rupture failed to close, allowing product to flow back down the pipe through Cajon Pass, which strengthened the intensity and duration of the fire. The valves were already defective at the time of the derailment, and this was not rectified in the two weeks between the derailment and the rupture. During inspection of the pipeline after the rupture, more debris from one of the wrecked locomotives was discovered near the point of rupture."
 Investigation , Part 2: Undetected pipeline damage ,"At the point of the rupture, the pipeline was only buried 2+1⁄2 feet (0.76 m) underneath the ground, much closer to the surface than the pipeline had been at the time of the derailment. The disaster was featured in ""Runaway Train"", a Season 3 (2005) Crash Scene Investigation episode of the Canadian TV series Mayday. For broadcasters that do not use the series name Mayday, this is one of three Season 3 episodes labeled as Crash Scene Investigation spin-offs, examining marine or rail disasters. The dramatization was broadcast with the title ""Unstoppable Train"" in the United States."
 In popular culture , Bibliography ,"""The Cross at the Loop"" by Kevin Stevens, The Kern Junction Railroad Photo Gallery Photo of memorial plaque. Warren, Jennifer. ""Derailed Train's Load Said Above Crew's Figures."" Los Angeles Times. May 17, 1989, A3. ""The Great San Bernardino Train Wreck"" by Hatch & Judy Graham Archived 2007-02-18 at the Wayback Machine"
 Explosion and fire ,,"At 6:11 pm PDT on September 9, 2010, a huge explosion occurred in the Crestmoor residential neighborhood of San Bruno, near Skyline Boulevard and San Bruno Avenue. This caused a fire, which quickly engulfed nearby houses. Emergency responders from San Bruno and nearby cities soon arrived at the scene and evacuated surrounding neighborhoods. Strong winds fanned the flames, hampering fire fighting efforts. The blaze was fed by a ruptured gas pipe, and large clouds of smoke soared into the sky."
 Explosion and fire ,,"It took 60 to 90 minutes to shut off the gas after the explosion, according to San Bruno Fire Chief Dennis Haag. The explosion and resulting fire leveled either 35 or 37 houses and damaged at least 8 more, according to conflicting sources. Three of the damaged houses, deemed uninhabitable, were torn down the following December. About 200 firefighters battled the eight alarm fire that resulted from the explosions."
 Explosion and fire ,,"The explosion excavated an asymmetric crater 167 feet (51 m) long, 26 feet (7.9 m) wide and 40 feet (12 m) deep along the sidewalk of Glenview Drive in front of 1701 Earl Avenue (a corner house), but many of the destroyed homes were eastward in the 1600 block of Claremont Drive. The fire continued to burn for several hours after the initial explosion. The explosion compromised a water main and required firefighters to truck in water from outside sources. Firefighters were assisted by residents who dragged fire hoses nearly 4,000 feet (1,200 m) to working hydrants."
 Explosion and fire ,,"Ordinary citizens drove injured people and burn victims to the hospital. Mutual aid responded from all over the Bay Area, including the California Department of Forestry and Fire Protection who sent 25 fire engines, four airtankers, two air attack planes, and one helicopter. The fire was only fifty percent contained by 10 pm PDT and continued to burn until about 11:40 am PDT the next day.As of September 29, 2010, the death toll was eight people."
 Explosion and fire ,,"Among the eight deaths was 20-year-old Jessica Morales, who was with her boyfriend, Joseph Ruigomez, at the epicenter of the fire (his home) on the corner of Earl Ave. Despite his proximity to the epicenter of the fire, Ruigomez survived but spent nearly five months recovering in the Saint Francis Memorial Hospital Burn Center. Two other people at the Claremont address close to the explosion were among those killed: Jacqueline Greig, 44, and her daughter Janessa Greig, 13. Greig worked for the California Public Utilities Commission (CPUC), in a small unit that advocates for consumer rights pertaining to natural gas regulations."
 Explosion and fire ,,"She had spent part of the summer evaluating PG&E's expansion plans and investment proposals to replace out-of-date pipelines. Also killed in the blast were Lavonne Bullis, 82, Greg Bullis, 50, and Will Bullis, 17."
 Response , San Bruno ,"A Red Cross shelter was set up at the Veterans Memorial Recreation Center in San Bruno, and the Blood Centers of the Pacific issued an emergency appeal for blood donations. Some people were evacuated to Tanforan and Bayhill Shopping Centers. All elementary schools in the San Bruno Park Elementary School District, as well as Parkside Junior High, were closed on September 10. However, Capuchino High School remained open. Some residents who were evacuated from their homes were allowed to return to those undamaged on Sunday, September 12."
 Response , Pacific Gas and Electric Company ,"The Pacific Gas and Electric Company (PG&E) is the owner of the pipeline. On September 10, 2010, PG&E's president, Christopher Johns, said the company was not able to approach the source of the explosion to investigate the cause. An official press release issued by PG&E on September 10 reported the pipe was a 30-inch (76 cm) steel transmission line."
 Response , Pacific Gas and Electric Company ,"Shares of PG&E stock fell eight percent on the Friday after the explosion, reducing the company's market capitalization by $1.57 billion.PG&E also reduced their operating pressures by 20 percent after investigations revealed the pipeline may have been improperly installed.After the San Bruno pipeline failure, PG&E was required to re-evaluate how it determines the maximum operating pressure for some 1,800 miles of pipeline throughout its system. Specifically, the CPUC asked PG&E officials to show their lines had been tested or examined in a way that could prove the pipeline can withstand the current maximum operating pressure."
 Response , Pacific Gas and Electric Company ,"At the March 15, 2011 deadline for this report, PG&E was unable to provide documentation for details of some of its gas transmission pipelines.In response to the disaster and a subsequent decision (D.11-06-017) by the CPUC, PG&E unveiled a plan in August 2011 to modernize and enhance safety of its gas transmission operations over several years, including automation of over 200 valves, strength-testing over 700 miles (1,100 km) of pipe, replacing 185 miles (298 km), and upgrading another 200 miles (320 km) or so to allow in-line inspection. The plan was divided into two phases."
 Response , Pacific Gas and Electric Company ,"The first phase, scheduled to end in 2014, targeted pipeline segments in urban areas, those not built to modern standards, and those that had not been strength-tested. Project funding of $769 million was the subject of a PG&E application (R.11-02-019) for a three-year increase in gas rates starting January 2012.On November 6, 2011, an explosion occurred near Woodside, California during strength testing of PG&E pipelines. The explosion caused a mudslide in the area; however, no casualties were reported."
 Response , California state government ,"Lieutenant Governor Abel Maldonado made a state of emergency declaration and signed an executive order to provide aid to victims. State regulators ordered PG&E to survey all natural gas lines the company controls in California. Governor Arnold Schwarzenegger visited the site several days later, after returning from a trade mission in Asia."
 Response , Federal government ,"U.S. Rep. Jackie Speier called the devastation ""a very serious crisis"" and was asking Federal Emergency Management Agency (FEMA) to declare it a national disaster area."
 Response , Use of technology ,"The San Bruno explosion was notable for the fact that local technology companies such as Cisco Systems and Google dispatched their emergency response teams to provide emergency communications and enhanced mapping information at the request of responders at the scene. Coordinated through the nonprofit InSTEDD (Innovative Support to Emergencies, Diseases, and Disasters), with support from the Carnegie Mellon University Disaster Management Initiative, a number of unaffiliated technology volunteers were requested to support many of the GIS (Geographic Information Systems) response efforts, coordinated through the Planning Section Chief."
 Response , Use of technology ,"San Bruno Police declared the area a crime scene to determine if foul play was involved. The National Transportation Safety Board (NTSB) began an investigation into the cause of the explosion. During the days prior to the explosion, some residents reported smelling natural gas in the area. A source within PG&E reported a break in natural gas line number 132 caused the explosion. At the time of the explosion, the pressure within that part of the pipeline was 386–386.4 psi (2.661–2.664 MPa)."
 Response , Use of technology ,"Although this was 11 psi (0.076 MPa) greater than PG&E's maximum rated operating pressure for that section of the pipeline, it was still 14 psi (0.097 MPa) below PG&E's specified maximum allowable rating of 400 psi (2.8 MPa). The gas line is a large 30-inch (76 cm) steel pipe."
 Response , Use of technology ,"NTSB vice chairman Christopher Hart said at a briefing that the segment of pipe that blew out onto the street was 28 feet (8.5 m) long, the explosion sent that piece of pipe about 100 feet (30 m) and the blast created a crater 167 feet (51 m) long and 26 feet (7.9 m) wide, though the NTSB Pipeline Accident Report would later size the crater to be 72 feet (22 m) long and 26 feet (7.9 m) wide."
 Response , Use of technology ,"He said that an inspection of the severed pipe chunk revealed that it was made of several smaller sections that had been welded together and that a seam ran its length. The presence of the welds did not necessarily indicate the pipe had been repaired, he said. Newer pipelines are usually manufactured into the shape needed for these applications, rather than having multiple weaker welded sections that could potentially leak or break.In January 2011, federal investigators reported that they found numerous defective welds in the pipeline. The thickness of the pipe varied, and some welds did not penetrate the pipes completely."
 Response , Use of technology ,"As PG&E increased the pressure in the pipes to meet growing energy demand, the defective welds were further weakened until their failure."
 Response , Use of technology ,"As the pipeline was installed in 1956, modern testing methods such as X-rays were not available to detect the problem at that time.The NTSB held a 3-day public hearing on March 1 through 3, 2011, to gather additional facts for the ongoing investigation of the pipeline rupture and explosion.Parties to the public hearing included: Pacific Gas & Electric California Public Utilities Commission (CPUC) Pipeline and Hazardous Materials Safety Administration (PHMSA) The City of San Bruno International Brotherhood of Electrical Workers Local 1245The NTSB also published call logs from the Milpitas PG&E gas terminal to a gas control center."
 Response , Use of technology ,"An uninterruptible power supply (UPS) replacement was started at the Milpitas terminal several hours before the San Bruno explosion.It was revealed that PG&E had done pipeline replacement work on Line 132 along parts of the San Andreas Fault zone, near this area, to reduce the likelihood of the pipeline failing from an earthquake."
 Response , Use of technology ,"However, the replacement was stopped short of the area that failed in 2010.On January 13, 2012, an independent audit from the State of California issued a report stating that PG&E had illegally diverted over $100 million from a fund used for safety operations, and instead used it for executive compensation and bonuses."
 Litigation , Private party ,"Through more than 20 law firms, over 100 plaintiffs have sued Pacific Gas and Electric and/or its parent, PG&E Corporation, in the Superior Courts of California in over 70 separate lawsuits. Virtually all were filed in the local state court, the Superior Court of California for the County of San Mateo. All the cases were consolidated and transferred to Judge Steven L. Dylina on March 4, 2011, and designated as Judicial Council Coordinated Proceeding (JCCP) No. 4648, PG&E ""San Bruno Fire"" Cases. On June 3, 2011, the plaintiffs filed a consolidated Master Complaint."
